date,start,end,journey,charge,credit,balance,note
2017-11-22,16:36,16:53,Embankment to Marylebone,2.4,,,Contactless
2017-11-22,12:33,12:52,Marylebone to Temple,2.4,,,Contactless
2017-11-15,16:44,16:56,High Street Kensington to Edgware Road,2.4,,,Contactless
2017-11-15,09:24,09:35,Edgware Road to High Street Kensington,2.4,,,Contactless
2017-10-25,20:59,21:15,Victoria to Marylebone,2.4,,,Contactless
2017-10-25,17:55,18:17,Paddington to Victoria,2.4,,,Contactless
2017-10-12,20:57,21:08,Kings Cross St Pancras to Baker Street,2.4,,,Contactless
2017-10-12,18:03,18:23,Paddington to Euston Square,2.4,,,Contactless
2017-10-09,15:54,16:01,Paddington to Marylebone,1.6,,20.35,
2017-10-09,08:47,08:54,Marylebone to Paddington,2.4,,21.95,
2017-10-05,20:33,20:50,Moorgate to Baker Street,1.6,,24.35,
2017-10-05,17:59,18:23,Paddington to Barbican,2.4,,25.95,
2017-09-21,20:02,20:13,Oxford Circus to Marylebone,1.6,,28.35,
2017-09-21,20:02,,"Auto top-up, Oxford Circus",,20,29.95,
2017-09-21,18:19,18:35,Paddington to Oxford Circus,2.4,,9.95,
2017-09-05,12:55,13:16,Temple to Earls Court,1.6,,12.35,
2017-09-05,10:37,10:56,Earls Court to Temple,1.6,,13.95,
2017-09-03,21:54,22:16,Edgware Road to Earls Court,1.6,,15.55,
2017-08-31,20:53,21:08,Shepherd's Bush Market to Edgware Road,1.3,,17.15,The fare for this journey was capped as you reached the daily charging limit for the zones used
2017-08-31,17:53,18:04,Paddington to Shepherd's Bush Market,2.9,,18.45,
2017-08-31,08:25,08:51,Earls Court to Paddington,2.4,,21.35,
2017-08-30,20:46,21:03,Piccadilly Circus to Earls Court,1.6,,23.75,
2017-08-30,18:06,18:21,Paddington to Piccadilly Circus,2.4,,25.35,
2017-08-30,18:06,,"Auto top-up, Paddington",,20,27.75,
2017-08-30,08:24,08:36,Earls Court to Paddington,2.4,,7.75,
2017-08-29,17:22,17:37,Paddington to Earls Court,2.4,,10.15,
2017-08-29,08:24,08:41,Earls Court to Paddington,2.4,,12.55,
2017-08-28,21:26,21:47,Edgware Road to Earls Court,1.6,,14.95,
2017-08-25,14:13,14:29,Earls Court to Edgware Road,1.6,,16.55,
2017-08-23,20:15,20:28,Paddington to Earls Court,1.6,,18.15,
2017-08-23,08:34,08:48,Earls Court to Paddington,2.4,,19.75,
2017-08-22,20:28,20:47,Paddington to Earls Court,1.6,,22.15,
2017-08-22,08:24,08:37,Earls Court to Paddington,2.4,,23.75,
2017-08-21,17:23,17:36,Paddington to Earls Court,2.4,,26.15,
2017-08-21,17:23,,"Auto top-up, Paddington",,20,28.55,
2017-08-21,08:23,08:36,Earls Court to Paddington,2.4,,8.55,
2017-08-20,21:57,22:18,Edgware Road to Earls Court,1.6,,10.95,
2017-08-18,20:43,21:00,Earls Court to Edgware Road,1.6,,12.55,
2017-08-17,17:23,17:37,Paddington to Earls Court,2.4,,14.15,
2017-08-17,08:34,08:49,Earls Court to Paddington,2.4,,16.55,
2017-08-16,20:58,21:30,Old Street to Earls Court,1.6,,18.95,
2017-08-16,17:53,18:20,Paddington to Old Street,2.4,,20.55,
2017-08-16,08:23,08:37,Earls Court to Paddington,2.4,,22.95,
2017-08-14,17:54,18:11,Paddington to Earls Court,2.4,,25.35,
2017-08-14,17:54,,"Auto top-up, Paddington",,20,27.75,
2017-08-14,08:23,08:41,Earls Court to Paddington,2.4,,7.75,
2017-08-13,20:24,20:57,Edgware Road to Earls Court,1.6,,10.15,
2017-08-11,20:16,20:30,Earls Court to Edgware Road,1.6,,11.75,
2017-08-10,19:14,19:26,Paddington to Earls Court,1.6,,13.35,
2017-08-10,08:24,08:40,Earls Court to Paddington,2.4,,14.95,
2017-08-09,19:43,19:58,Paddington to Earls Court,1.6,,17.35,
2017-08-09,08:13,08:27,Earls Court to Paddington,2.4,,18.95,
2017-08-08,20:12,20:29,Paddington to Earls Court,1.6,,21.35,
2017-08-08,08:24,08:43,Earls Court to Paddington,2.4,,22.95,
2017-08-07,19:53,20:08,Paddington to Earls Court,1.6,,25.35,
2017-08-07,08:24,08:39,Earls Court to Paddington,2.4,,26.95,
2017-08-07,08:24,,"Auto top-up, Earls Court",,20,29.35,
2017-08-06,18:59,19:16,Edgware Road to Earls Court,1.6,,9.35,
2017-08-03,08:24,08:35,Earls Court to Paddington,2.4,,10.95,
2017-08-01,20:01,20:17,Paddington to Earls Court,1.6,,13.35,
2017-08-01,08:24,08:36,Earls Court to Paddington,2.4,,14.95,
2017-07-31,17:11,17:27,Paddington to Earls Court,2.4,,17.35,
2017-07-31,08:31,08:52,Earls Court to Paddington,2.4,,19.75,
2017-07-30,20:43,20:57,Edgware Road to Earls Court,1.6,,22.15,
2017-07-28,19:12,19:28,Earls Court to Edgware Road,1.6,,23.75,
2017-07-27,17:02,17:17,Paddington to Earls Court,2.4,,25.35,
2017-07-27,17:02,,"Auto top-up, Paddington",,20,27.75,
2017-07-27,08:24,08:34,Earls Court to Paddington,2.4,,7.75,
2017-07-26,20:00,20:17,Paddington to Earls Court,1.6,,10.15,
2017-07-26,08:25,08:39,Earls Court to Paddington,2.4,,11.75,
2017-07-25,17:43,18:10,Paddington to Earls Court,2.4,,14.15,
2017-07-25,08:25,08:44,Earls Court to Paddington,2.4,,16.55,
2017-07-24,13:29,13:56,Edgware Road to Earls Court,1.6,,18.95,
2017-07-21,21:53,22:09,Vauxhall to Marylebone,1.45,,20.55,The fare for this journey was capped as you reached the daily charging limit for the zones used
2017-07-21,17:29,17:58,Earls Court to Oval,2.9,,22,
2017-07-20,18:39,19:02,Paddington to Earls Court,2.4,,24.9,
2017-07-20,08:22,08:37,Earls Court to Paddington,2.4,,27.3,
2017-07-20,08:22,,"Auto top-up, Earls Court",,20,29.7,
2017-07-19,22:05,22:24,Vauxhall to Earls Court,1.3,,9.7,The fare for this journey was capped as you reached the daily charging limit for the zones used
2017-07-19,17:20,17:53,Paddington to Oval,2.9,,11,
2017-07-19,08:24,08:39,Earls Court to Paddington,2.4,,13.9,
2017-07-18,20:31,21:03,Angel to Earls Court,1.25,,16.3,The fare for this journey was capped as you reached the daily charging limit for the zones used
2017-07-18,17:32,,"Bus journey, route 341",1.5,,17.55,
2017-07-18,12:49,13:08,Earls Court to Temple,1.6,,19.05,
2017-07-17,21:21,21:48,Marylebone to Earls Court,1.6,,20.65,
2017-07-14,21:49,22:07,Vauxhall to Marylebone,1.45,,22.25,The fare for this journey was capped as you reached the daily charging limit for the zones used
2017-07-14,17:32,18:00,Earls Court to Oval,2.9,,23.7,
2017-07-13,17:32,17:47,Paddington to Earls Court,2.4,,26.6,
2017-07-13,17:32,,"Auto top-up, Paddington",,20,29,
2017-07-13,08:26,08:38,Earls Court to Paddington,2.4,,9,
2017-07-11,21:39,21:52,Green Park to Earls Court,1.6,,11.4,
2017-07-11,17:50,,"Bus journey, route 6",1.5,,13,
